,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Z_aux[1667],-0.341,0.565,-1.318,0.835,0.058,0.041,96.0,96.0,98.0,215.0,1.07
Z_aux[1668],-0.125,0.607,-1.346,0.942,0.083,0.059,53.0,53.0,51.0,63.0,1.11
Z_aux[1669],-0.065,0.6,-1.158,1.083,0.068,0.048,78.0,78.0,79.0,635.0,1.07
Z_aux[1670],0.44,0.512,-0.552,1.381,0.076,0.054,46.0,46.0,48.0,178.0,1.12
Z_aux[1671],1.023,0.519,0.045,1.967,0.051,0.036,105.0,102.0,106.0,482.0,1.06
Z_aux[1672],-0.186,0.565,-1.27,0.872,0.057,0.04,99.0,99.0,97.0,296.0,1.08
Z_aux[1673],-0.041,0.604,-1.126,1.145,0.104,0.074,34.0,34.0,34.0,128.0,1.19
Z_aux[1674],-0.051,0.594,-1.192,1.014,0.073,0.052,66.0,66.0,65.0,228.0,1.1
Z_aux[1675],0.015,0.608,-1.124,1.193,0.082,0.058,55.0,55.0,56.0,154.0,1.12
Z_aux[1676],-0.147,0.597,-1.264,0.984,0.079,0.056,57.0,57.0,58.0,145.0,1.1
Z_aux[1677],-0.154,0.548,-1.213,0.838,0.045,0.032,149.0,149.0,150.0,340.0,1.05
Z_aux[1678],-0.324,0.613,-1.528,0.823,0.074,0.052,69.0,69.0,69.0,196.0,1.1
Z_aux[1679],-0.176,0.58,-1.275,0.833,0.088,0.063,44.0,44.0,44.0,264.0,1.13
Z_aux[1680],-1.102,0.591,-2.238,0.022,0.083,0.059,51.0,51.0,51.0,129.0,1.12
Z_aux[1681],-0.146,0.547,-1.204,0.808,0.043,0.031,159.0,159.0,166.0,339.0,1.06
Z_aux[1682],-0.102,0.538,-1.108,0.931,0.067,0.047,65.0,65.0,66.0,185.0,1.1
Z_aux[1683],0.006,0.53,-1.005,0.967,0.041,0.029,166.0,166.0,166.0,370.0,1.06
Z_aux[1684],-0.084,0.574,-1.169,0.976,0.066,0.047,75.0,75.0,75.0,647.0,1.08
Z_aux[1685],0.745,0.55,-0.269,1.757,0.09,0.064,38.0,38.0,39.0,277.0,1.16
Z_aux[1686],-0.18,0.607,-1.386,0.911,0.055,0.039,124.0,124.0,118.0,287.0,1.06
Z_aux[1687],0.007,0.54,-1.067,1.012,0.062,0.044,76.0,76.0,77.0,277.0,1.09
Z_aux[1688],-0.514,0.618,-1.615,0.695,0.089,0.063,48.0,48.0,49.0,82.0,1.14
Z_aux[1689],-1.208,0.648,-2.415,-0.026,0.099,0.07,43.0,43.0,44.0,66.0,1.12
Z_aux[1690],-0.562,0.592,-1.641,0.618,0.07,0.05,71.0,71.0,72.0,374.0,1.07
Z_aux[1691],-0.009,0.574,-1.099,1.091,0.066,0.047,75.0,75.0,74.0,201.0,1.07
Z_aux[1692],-0.747,0.616,-1.832,0.441,0.106,0.076,34.0,34.0,36.0,64.0,1.16
Z_aux[1693],-0.189,0.615,-1.295,1.063,0.098,0.07,39.0,39.0,41.0,35.0,1.17
Z_aux[1694],-0.241,0.623,-1.455,0.918,0.053,0.038,136.0,136.0,137.0,222.0,1.06
Z_aux[1695],-0.336,0.612,-1.541,0.825,0.059,0.047,108.0,84.0,110.0,145.0,1.07
Z_aux[1696],0.025,0.628,-1.03,1.274,0.084,0.06,56.0,56.0,56.0,229.0,1.13
Z_aux[1697],-0.172,0.575,-1.176,0.98,0.059,0.042,95.0,95.0,97.0,310.0,1.07
Z_aux[1698],0.731,0.552,-0.307,1.762,0.044,0.031,156.0,156.0,158.0,553.0,1.04
Z_aux[1699],0.016,0.64,-1.168,1.161,0.141,0.101,21.0,21.0,21.0,46.0,1.32
Z_aux[1700],0.164,0.52,-0.865,1.094,0.054,0.038,93.0,93.0,117.0,96.0,1.07
Z_aux[1701],-1.17,0.635,-2.354,0.11,0.061,0.043,110.0,110.0,111.0,134.0,1.06
Z_aux[1702],0.097,0.626,-1.086,1.219,0.125,0.09,25.0,25.0,25.0,55.0,1.24
Z_aux[1703],0.067,0.6,-1.105,1.138,0.089,0.063,45.0,45.0,46.0,108.0,1.12
Z_aux[1704],0.363,0.547,-0.693,1.45,0.054,0.044,101.0,78.0,114.0,88.0,1.06
Z_aux[1705],0.064,0.581,-1.019,1.155,0.077,0.055,57.0,57.0,57.0,363.0,1.11
Z_aux[1706],-0.226,0.542,-1.248,0.792,0.058,0.041,89.0,89.0,90.0,174.0,1.08
Z_aux[1707],1.415,0.525,0.328,2.332,0.088,0.063,36.0,36.0,37.0,65.0,1.16
Z_aux[1708],-0.369,0.561,-1.414,0.692,0.039,0.028,207.0,207.0,209.0,341.0,1.04
Z_aux[1709],-0.398,0.607,-1.509,0.676,0.087,0.062,49.0,49.0,50.0,238.0,1.12
Z_aux[1710],-0.42,0.545,-1.52,0.537,0.096,0.069,32.0,32.0,32.0,173.0,1.17
Z_aux[1711],0.035,0.534,-0.976,1.052,0.047,0.033,132.0,132.0,135.0,352.0,1.06
Z_aux[1712],0.259,0.598,-0.835,1.443,0.056,0.039,116.0,116.0,118.0,182.0,1.07
Z_aux[1713],-0.235,0.705,-1.742,0.969,0.168,0.142,18.0,13.0,21.0,15.0,1.31
Z_aux[1714],-0.519,0.607,-1.682,0.621,0.086,0.064,50.0,45.0,53.0,106.0,1.13
Z_aux[1715],0.367,0.528,-0.598,1.38,0.053,0.041,98.0,85.0,108.0,220.0,1.06
Z_aux[1716],-0.135,0.622,-1.277,1.064,0.101,0.072,38.0,38.0,38.0,139.0,1.15
Z_aux[1717],0.091,0.599,-1.067,1.164,0.07,0.05,72.0,72.0,72.0,259.0,1.1
Z_aux[1718],-0.179,0.639,-1.409,0.974,0.105,0.075,37.0,37.0,38.0,58.0,1.14
Z_aux[1719],-0.195,0.596,-1.342,0.938,0.059,0.042,102.0,102.0,104.0,357.0,1.08
Z_aux[1720],0.106,0.572,-0.967,1.24,0.049,0.035,136.0,136.0,132.0,340.0,1.05
Z_aux[1721],-0.075,0.602,-1.183,1.053,0.068,0.048,78.0,78.0,78.0,227.0,1.07
Z_aux[1722],-0.073,0.588,-1.179,1.062,0.04,0.028,217.0,217.0,218.0,408.0,1.04
Z_aux[1723],0.916,0.52,-0.144,1.78,0.055,0.039,90.0,90.0,91.0,141.0,1.07
Z_aux[1724],0.168,0.558,-0.953,1.166,0.097,0.069,33.0,33.0,35.0,85.0,1.17
Z_aux[1725],-0.371,0.656,-1.623,0.778,0.097,0.07,46.0,44.0,47.0,90.0,1.12
Z_aux[1726],-0.124,0.568,-1.134,0.97,0.063,0.045,81.0,81.0,81.0,257.0,1.07
Z_aux[1727],-0.231,0.653,-1.397,1.011,0.072,0.051,83.0,83.0,82.0,234.0,1.08
Z_aux[1728],-0.339,0.604,-1.384,0.858,0.126,0.09,23.0,23.0,25.0,55.0,1.25
Z_aux[1729],-0.028,0.592,-1.143,1.071,0.058,0.041,103.0,103.0,102.0,256.0,1.08
Z_aux[1730],0.459,0.523,-0.586,1.333,0.072,0.064,53.0,34.0,58.0,62.0,1.12
Z_aux[1731],-0.077,0.617,-1.243,1.038,0.064,0.046,92.0,92.0,94.0,403.0,1.06
Z_aux[1732],0.186,0.544,-0.883,1.145,0.074,0.053,53.0,53.0,54.0,241.0,1.11
Z_aux[1733],0.147,0.614,-0.965,1.363,0.053,0.038,133.0,133.0,134.0,299.0,1.05
Z_aux[1734],-0.31,0.589,-1.454,0.778,0.065,0.046,82.0,82.0,82.0,472.0,1.08
Z_aux[1735],-0.402,0.623,-1.585,0.751,0.092,0.066,46.0,46.0,47.0,90.0,1.12
Z_aux[1736],-0.111,0.593,-1.159,1.09,0.074,0.053,64.0,64.0,65.0,78.0,1.1
Z_aux[1737],-0.034,0.605,-1.157,1.081,0.055,0.039,123.0,123.0,127.0,363.0,1.05
Z_aux[1738],0.197,0.585,-0.893,1.31,0.044,0.031,180.0,180.0,179.0,339.0,1.07
Z_aux[1739],0.009,0.587,-1.128,1.039,0.1,0.071,35.0,35.0,35.0,226.0,1.17
Z_aux[1740],0.804,0.583,-0.52,1.828,0.127,0.091,21.0,21.0,24.0,17.0,1.25
Z_aux[1741],-0.155,0.614,-1.342,0.981,0.095,0.068,41.0,41.0,43.0,39.0,1.13
Z_aux[1742],0.195,0.589,-0.862,1.344,0.059,0.042,100.0,100.0,101.0,321.0,1.08
Z_aux[1743],-0.096,0.602,-1.167,1.057,0.071,0.051,71.0,71.0,73.0,365.0,1.1
Z_aux[1744],-0.09,0.583,-1.216,0.963,0.043,0.031,180.0,180.0,179.0,423.0,1.04
Z_aux[1745],-0.482,0.596,-1.603,0.66,0.072,0.051,69.0,69.0,69.0,235.0,1.1
Z_aux[1746],0.213,0.505,-0.778,1.136,0.044,0.031,130.0,130.0,130.0,199.0,1.05
Z_aux[1747],0.574,0.671,-0.675,1.848,0.161,0.116,17.0,17.0,18.0,45.0,1.4
Z_aux[1748],0.899,0.563,-0.189,1.901,0.069,0.049,67.0,67.0,72.0,388.0,1.1
Z_aux[1749],-0.071,0.612,-1.269,1.031,0.089,0.063,48.0,48.0,49.0,248.0,1.12
Z_aux[1750],-0.099,0.582,-1.185,0.956,0.044,0.031,174.0,174.0,175.0,365.0,1.04
Z_aux[1751],-0.171,0.643,-1.378,0.994,0.092,0.065,49.0,49.0,50.0,222.0,1.12
Z_aux[1752],-0.218,0.597,-1.212,0.901,0.085,0.061,49.0,49.0,53.0,280.0,1.13
Z_aux[1753],-0.193,0.587,-1.236,0.891,0.088,0.063,44.0,44.0,44.0,171.0,1.14
Z_aux[1754],0.074,0.601,-1.023,1.248,0.068,0.048,78.0,78.0,76.0,427.0,1.09
Z_aux[1755],0.609,0.568,-0.477,1.655,0.102,0.073,31.0,31.0,30.0,68.0,1.2
Z_aux[1756],-0.296,0.562,-1.349,0.716,0.076,0.054,55.0,55.0,56.0,430.0,1.1
Z_aux[1757],-0.156,0.568,-1.391,0.811,0.104,0.075,30.0,30.0,30.0,121.0,1.2
Z_aux[1758],-0.193,0.552,-1.265,0.798,0.057,0.041,93.0,93.0,90.0,322.0,1.1
Z_aux[1759],-0.063,0.576,-1.169,1.026,0.066,0.047,77.0,77.0,81.0,141.0,1.09
Z_aux[1760],-0.147,0.743,-1.583,1.289,0.107,0.076,48.0,48.0,49.0,62.0,1.12
Z_aux[1761],-0.323,0.609,-1.579,0.756,0.052,0.039,136.0,120.0,135.0,275.0,1.06
Z_aux[1762],0.053,0.609,-1.142,1.216,0.097,0.069,40.0,40.0,41.0,39.0,1.14
Z_aux[1763],-0.081,0.69,-1.262,1.226,0.151,0.109,21.0,21.0,21.0,64.0,1.29
Z_aux[1764],-0.209,0.58,-1.235,0.922,0.047,0.033,155.0,155.0,159.0,428.0,1.05
Z_aux[1765],-0.091,0.569,-1.202,1.054,0.059,0.042,94.0,94.0,95.0,333.0,1.07
Z_aux[1766],-0.075,0.591,-1.193,0.964,0.053,0.038,123.0,123.0,123.0,295.0,1.06
mu_phi[0],4.317,22.579,-28.023,63.747,5.997,4.331,14.0,14.0,12.0,15.0,1.8
mu_phi[1],7.791,35.183,-68.476,71.664,11.392,8.316,10.0,10.0,10.0,10.0,2.2
mu_phi[2],2.007,22.943,-54.429,28.228,7.649,5.595,9.0,9.0,10.0,24.0,2.26
mu_phi[3],-6.412,25.529,-68.34,29.514,7.605,5.523,11.0,11.0,11.0,15.0,1.87
mu_phi[4],-6.227,17.841,-42.246,24.029,3.764,2.697,22.0,22.0,16.0,43.0,1.71
mu_phi[5],5.128,21.11,-22.954,62.61,7.0,5.118,9.0,9.0,11.0,14.0,2.1
mu_phi[6],-8.131,30.927,-62.984,44.286,9.59,6.981,10.0,10.0,11.0,20.0,2.06
mu_phi[7],12.944,20.234,-21.515,56.066,6.125,4.453,11.0,11.0,11.0,21.0,2.14
mu_phi[8],-27.181,25.666,-78.335,6.439,7.449,5.402,12.0,12.0,12.0,25.0,1.79
mu_phi[9],-10.206,29.288,-84.229,23.318,7.654,5.524,15.0,15.0,14.0,33.0,1.67
mu_phi[10],-3.968,27.911,-68.106,34.782,8.454,6.145,11.0,11.0,12.0,21.0,2.03
mu_phi[11],-4.694,18.157,-43.969,32.433,5.737,4.181,10.0,10.0,10.0,13.0,2.29
mu_phi[12],-0.09,17.086,-27.409,33.563,5.764,4.219,9.0,9.0,9.0,11.0,3.14
mu_phi[13],-3.921,8.404,-17.58,16.967,2.835,2.075,9.0,9.0,9.0,19.0,2.77
mu_phi[14],-19.572,57.376,-157.248,79.183,18.979,14.0,9.0,9.0,10.0,10.0,2.37
mu_phi[15],8.004,31.789,-32.231,100.351,10.052,7.326,10.0,10.0,10.0,12.0,2.4
mu_phi[16],2.405,12.668,-13.877,36.212,3.713,2.694,12.0,12.0,11.0,15.0,2.29
mu_phi[17],9.569,40.418,-29.238,123.65,13.054,9.803,10.0,9.0,12.0,22.0,2.44
mu_phi[18],8.401,23.93,-37.995,58.16,5.804,4.206,17.0,17.0,15.0,20.0,1.48
mu_phi[19],0.425,47.829,-106.801,95.72,15.24,11.113,10.0,10.0,10.0,11.0,2.69
mu_phi[20],1.71,21.225,-27.523,35.578,6.035,4.372,12.0,12.0,13.0,24.0,1.89
mu_phi[21],-4.361,16.874,-33.709,21.382,5.506,4.021,9.0,9.0,10.0,48.0,2.29
mu_phi[22],-1.871,23.326,-42.366,40.143,7.25,5.278,10.0,10.0,11.0,23.0,2.09
mu_phi[23],-0.923,12.807,-16.538,24.993,4.256,3.112,9.0,9.0,10.0,12.0,2.23
mu_phi[24],-0.687,20.005,-40.352,27.793,6.747,4.939,9.0,9.0,9.0,28.0,2.75
mu_phi[25],2.446,29.962,-71.584,46.599,8.561,6.204,12.0,12.0,12.0,24.0,1.93
mu_phi[26],-4.131,20.948,-64.358,23.567,6.742,4.919,10.0,10.0,10.0,20.0,2.47
mu_phi[27],-1.419,35.873,-67.266,80.468,11.006,8.007,11.0,11.0,11.0,24.0,2.17
mu_phi[28],24.526,35.98,-51.727,91.027,12.196,8.931,9.0,9.0,9.0,10.0,3.32
mu_phi[29],11.264,19.481,-8.187,44.216,4.769,3.433,17.0,17.0,13.0,33.0,2.0
mu_phi[30],10.306,15.44,-5.654,44.109,4.814,3.506,10.0,10.0,11.0,19.0,2.08
mu_phi[31],-8.918,19.45,-41.991,29.515,3.469,2.476,31.0,31.0,21.0,48.0,1.49
mu_phi[32],-7.001,27.512,-56.692,38.818,9.332,6.834,9.0,9.0,9.0,10.0,3.3
mu_phi[33],6.598,29.013,-32.249,68.379,7.42,5.35,15.0,15.0,13.0,29.0,1.76
mu_phi[34],6.844,38.543,-47.208,119.792,12.636,9.231,9.0,9.0,9.0,16.0,2.75
mu_phi[35],-7.383,35.048,-75.998,47.68,9.719,7.033,13.0,13.0,14.0,56.0,1.6
mu_phi[36],-8.887,32.652,-93.19,36.71,9.231,6.686,13.0,13.0,15.0,25.0,1.87
mu_phi[37],5.258,22.998,-44.794,44.247,7.489,5.468,9.0,9.0,10.0,23.0,2.56
mu_phi[38],-9.102,29.139,-67.628,45.381,6.795,4.883,18.0,18.0,16.0,40.0,1.69
mu_phi[39],-8.801,19.725,-43.635,31.715,5.861,4.256,11.0,11.0,11.0,20.0,1.9
mu_phi[40],4.177,22.967,-32.918,67.979,7.321,5.414,10.0,10.0,11.0,10.0,2.05
mu_phi[41],14.563,29.486,-36.858,91.046,7.275,5.62,16.0,14.0,16.0,17.0,1.51
mu_phi[42],4.293,31.626,-54.475,68.893,10.365,7.572,9.0,9.0,9.0,14.0,2.71
mu_phi[43],-4.475,22.174,-50.332,43.424,6.724,4.888,11.0,11.0,11.0,14.0,2.14
mu_phi[44],-9.723,25.068,-55.684,46.079,8.222,6.007,9.0,9.0,9.0,11.0,2.85
mu_phi[45],8.968,37.698,-39.962,89.778,12.701,9.296,9.0,9.0,9.0,30.0,2.63
mu_phi[46],-0.368,34.891,-71.952,47.022,11.173,8.15,10.0,10.0,10.0,19.0,2.31
tau_h,109.806,6.117,98.419,120.561,1.608,1.16,14.0,14.0,15.0,42.0,1.5
tau_c,0.968,0.938,0.0,2.643,0.079,0.056,142.0,142.0,95.0,140.0,1.07
phi[0],4.455,22.688,-29.142,62.715,6.053,4.372,14.0,14.0,12.0,16.0,1.82
phi[1],7.93,35.619,-68.999,72.859,11.554,8.435,10.0,10.0,10.0,10.0,2.24
phi[2],2.146,23.347,-55.532,29.276,7.802,5.707,9.0,9.0,10.0,24.0,2.29
phi[3],-6.273,24.977,-62.677,33.403,7.408,5.379,11.0,11.0,11.0,15.0,1.86
phi[4],-6.089,18.138,-43.491,24.117,3.968,2.846,21.0,21.0,15.0,45.0,1.7
phi[5],5.267,21.313,-23.608,62.351,7.059,5.161,9.0,9.0,11.0,14.0,2.27
phi[6],-7.993,30.908,-64.223,43.308,9.587,6.979,10.0,10.0,11.0,21.0,2.07
phi[7],13.083,19.752,-20.302,54.866,5.952,4.326,11.0,11.0,11.0,23.0,2.11
phi[8],-27.042,25.855,-78.636,7.745,7.538,5.468,12.0,12.0,12.0,25.0,1.77
phi[9],-10.068,29.43,-85.543,23.69,7.724,5.576,15.0,15.0,14.0,31.0,1.63
phi[10],-3.83,28.098,-67.085,36.024,8.54,6.209,11.0,11.0,12.0,23.0,2.0
phi[11],-4.556,18.567,-43.666,33.587,5.893,4.296,10.0,10.0,10.0,14.0,2.32
phi[12],0.048,17.261,-27.872,34.368,5.833,4.27,9.0,9.0,9.0,12.0,3.21
phi[13],-3.783,8.942,-21.43,14.966,3.037,2.224,9.0,9.0,9.0,18.0,3.03
phi[14],-19.434,57.035,-156.657,78.518,18.86,13.922,9.0,9.0,10.0,10.0,2.35
phi[15],8.143,31.37,-35.443,97.243,9.891,7.207,10.0,10.0,10.0,12.0,2.42
phi[16],2.543,13.178,-14.765,37.347,3.891,2.824,11.0,11.0,11.0,16.0,2.11
phi[17],9.707,39.932,-32.398,118.024,12.912,9.676,10.0,9.0,13.0,23.0,2.37
phi[18],8.54,23.93,-35.89,59.99,5.779,4.22,17.0,17.0,16.0,19.0,1.47
phi[19],0.563,47.776,-107.346,95.032,15.227,11.103,10.0,10.0,10.0,11.0,2.71
phi[20],1.848,21.696,-29.204,35.783,6.251,4.532,12.0,12.0,12.0,24.0,1.88
phi[21],-4.222,17.26,-35.634,20.853,5.654,4.13,9.0,9.0,10.0,44.0,2.32
phi[22],-1.733,23.642,-41.678,41.344,7.339,5.343,10.0,10.0,11.0,25.0,2.1
phi[23],-0.784,12.463,-15.828,24.564,4.082,2.982,9.0,9.0,11.0,12.0,2.07
phi[24],-0.549,19.911,-38.597,29.992,6.701,4.904,9.0,9.0,9.0,20.0,2.78
phi[25],2.585,30.372,-68.752,49.412,8.727,6.326,12.0,12.0,12.0,24.0,1.99
phi[26],-3.992,21.374,-64.237,23.872,6.937,5.064,9.0,9.0,10.0,20.0,2.57
phi[27],-1.28,35.456,-66.825,78.843,10.867,7.905,11.0,11.0,11.0,23.0,2.18
phi[28],24.665,35.841,-41.137,100.801,12.157,8.903,9.0,9.0,9.0,10.0,3.28
phi[29],11.402,19.752,-8.816,44.993,4.994,3.599,16.0,16.0,12.0,34.0,2.01
phi[30],10.444,15.526,-5.453,44.936,4.868,3.546,10.0,10.0,10.0,19.0,2.27
phi[31],-8.779,19.271,-43.865,27.635,3.335,2.379,33.0,33.0,21.0,45.0,1.47
phi[32],-6.862,27.302,-54.77,39.816,9.264,6.784,9.0,9.0,9.0,10.0,3.28
phi[33],6.737,28.668,-31.612,68.356,7.223,5.205,16.0,16.0,13.0,34.0,1.71
phi[34],6.983,38.962,-47.41,121.532,12.772,9.331,9.0,9.0,9.0,16.0,2.71
phi[35],-7.245,34.93,-75.271,47.304,9.665,6.993,13.0,13.0,15.0,57.0,1.56
phi[36],-8.748,32.283,-92.383,37.181,9.076,6.572,13.0,13.0,15.0,25.0,1.9
phi[37],5.397,23.261,-45.672,44.411,7.592,5.544,9.0,9.0,10.0,23.0,2.58
phi[38],-8.964,28.964,-65.512,46.5,6.695,4.81,19.0,19.0,17.0,39.0,1.67
phi[39],-8.662,19.646,-43.375,30.935,5.82,4.226,11.0,11.0,11.0,20.0,1.87
phi[40],4.315,22.807,-35.442,67.245,7.261,5.404,10.0,9.0,11.0,10.0,2.03
phi[41],14.702,29.176,-36.348,90.843,7.106,5.578,17.0,14.0,16.0,17.0,1.55
phi[42],4.432,31.195,-54.008,66.957,10.212,7.46,9.0,9.0,9.0,14.0,2.64
phi[43],-4.337,21.901,-51.583,41.076,6.613,4.806,11.0,11.0,11.0,14.0,2.12
phi[44],-9.585,24.705,-57.112,43.855,8.102,5.919,9.0,9.0,9.0,11.0,2.97
phi[45],9.107,37.807,-40.237,90.339,12.731,9.318,9.0,9.0,9.0,31.0,2.63
phi[46],-0.23,34.756,-70.536,47.425,11.126,8.115,10.0,10.0,10.0,19.0,2.33
mu[0],1.115,0.059,1.001,1.225,0.005,0.003,154.0,154.0,154.0,334.0,1.05
mu[1],1.03,0.053,0.929,1.131,0.004,0.003,191.0,191.0,191.0,417.0,1.04
mu[2],1.104,0.06,0.992,1.213,0.005,0.004,122.0,122.0,126.0,126.0,1.05
mu[3],1.027,0.059,0.926,1.144,0.01,0.007,32.0,32.0,32.0,333.0,1.18
mu[4],1.033,0.059,0.927,1.146,0.004,0.003,194.0,194.0,193.0,270.0,1.03
mu[5],1.106,0.065,0.983,1.223,0.006,0.004,105.0,105.0,107.0,271.0,1.06
mu[6],1.07,0.057,0.962,1.176,0.004,0.003,204.0,204.0,203.0,779.0,1.04
mu[7],1.028,0.055,0.93,1.141,0.003,0.002,338.0,338.0,339.0,623.0,1.01
mu[8],1.47,0.067,1.345,1.596,0.004,0.003,281.0,281.0,281.0,456.0,1.03
mu[9],1.064,0.06,0.949,1.182,0.008,0.006,49.0,49.0,50.0,204.0,1.11
mu[10],1.045,0.062,0.93,1.165,0.008,0.006,61.0,61.0,61.0,354.0,1.09
mu[11],1.068,0.067,0.954,1.205,0.007,0.005,88.0,88.0,89.0,184.0,1.06
mu[12],1.087,0.055,0.986,1.193,0.006,0.005,77.0,75.0,85.0,225.0,1.08
mu[13],1.042,0.061,0.924,1.153,0.006,0.004,100.0,98.0,104.0,413.0,1.06
mu[14],1.031,0.054,0.935,1.136,0.007,0.005,55.0,55.0,53.0,257.0,1.11
mu[15],1.363,0.063,1.239,1.483,0.005,0.003,184.0,184.0,185.0,269.0,1.03
mu[16],1.026,0.059,0.911,1.133,0.006,0.004,112.0,108.0,114.0,393.0,1.06
mu[17],1.029,0.057,0.925,1.138,0.01,0.007,33.0,33.0,33.0,108.0,1.18
mu[18],1.287,0.062,1.174,1.401,0.006,0.005,94.0,94.0,94.0,359.0,1.09
mu[19],1.132,0.06,1.019,1.243,0.01,0.007,33.0,33.0,33.0,75.0,1.17
mu[20],1.143,0.056,1.043,1.256,0.007,0.005,68.0,68.0,67.0,354.0,1.09
mu[21],1.18,0.057,1.074,1.285,0.007,0.005,68.0,68.0,66.0,137.0,1.09
mu[22],1.05,0.062,0.933,1.157,0.007,0.005,75.0,75.0,90.0,479.0,1.09
mu[23],1.139,0.061,1.023,1.257,0.004,0.003,213.0,213.0,213.0,391.0,1.04
mu[24],1.006,0.057,0.902,1.115,0.006,0.004,92.0,92.0,93.0,247.0,1.07
mu[25],1.039,0.057,0.929,1.139,0.007,0.005,61.0,61.0,62.0,472.0,1.09
mu[26],1.48,0.062,1.368,1.601,0.003,0.002,352.0,352.0,355.0,1000.0,1.02
mu[27],1.09,0.058,0.976,1.192,0.004,0.003,182.0,182.0,184.0,306.0,1.05
mu[28],1.037,0.056,0.931,1.142,0.004,0.003,217.0,217.0,215.0,349.0,1.05
mu[29],1.053,0.059,0.943,1.162,0.007,0.005,76.0,76.0,74.0,138.0,1.08
mu[30],1.283,0.064,1.162,1.397,0.007,0.005,91.0,91.0,92.0,513.0,1.06
mu[31],1.048,0.059,0.938,1.157,0.007,0.005,63.0,63.0,61.0,315.0,1.09
mu[32],1.023,0.056,0.922,1.131,0.005,0.003,146.0,146.0,142.0,139.0,1.04
mu[33],1.056,0.06,0.948,1.169,0.008,0.006,59.0,57.0,56.0,262.0,1.13
mu[34],1.039,0.057,0.936,1.152,0.006,0.005,79.0,79.0,81.0,273.0,1.08
mu[35],1.026,0.059,0.913,1.134,0.008,0.006,57.0,57.0,57.0,292.0,1.1
mu[36],1.472,0.067,1.353,1.594,0.005,0.004,153.0,152.0,156.0,508.0,1.04
mu[37],1.16,0.062,1.046,1.28,0.005,0.003,160.0,160.0,161.0,405.0,1.03
mu[38],1.035,0.058,0.923,1.137,0.005,0.004,125.0,125.0,125.0,375.0,1.06
mu[39],1.124,0.064,1.009,1.255,0.013,0.009,24.0,24.0,24.0,40.0,1.25
mu[40],1.137,0.065,1.018,1.261,0.006,0.005,104.0,103.0,106.0,467.0,1.08
mu[41],1.031,0.058,0.917,1.137,0.009,0.007,41.0,41.0,40.0,133.0,1.14
mu[42],1.073,0.057,0.971,1.176,0.006,0.004,83.0,83.0,84.0,562.0,1.07
mu[43],1.087,0.061,0.978,1.203,0.006,0.005,93.0,93.0,92.0,129.0,1.08
mu[44],1.17,0.057,1.067,1.28,0.005,0.004,116.0,115.0,118.0,431.0,1.05
mu[45],1.17,0.062,1.054,1.286,0.008,0.006,65.0,65.0,68.0,123.0,1.09
mu[46],1.17,0.059,1.061,1.28,0.006,0.004,101.0,101.0,101.0,277.0,1.07
mu[47],1.073,0.056,0.962,1.173,0.005,0.003,149.0,149.0,151.0,320.0,1.05
mu[48],1.018,0.06,0.901,1.124,0.009,0.006,47.0,47.0,46.0,263.0,1.12
mu[49],1.006,0.055,0.899,1.105,0.006,0.004,78.0,78.0,79.0,298.0,1.08
mu[50],1.039,0.056,0.93,1.143,0.004,0.003,186.0,182.0,181.0,375.0,1.05
mu[51],1.165,0.061,1.05,1.277,0.008,0.006,61.0,59.0,61.0,70.0,1.11
mu[52],1.065,0.061,0.945,1.18,0.004,0.003,194.0,194.0,194.0,450.0,1.03
mu[53],1.059,0.057,0.951,1.167,0.005,0.004,115.0,109.0,116.0,354.0,1.06
mu[54],1.04,0.059,0.933,1.15,0.007,0.005,80.0,79.0,81.0,395.0,1.07
mu[55],1.245,0.061,1.124,1.35,0.005,0.004,124.0,124.0,131.0,330.0,1.06
mu[56],1.058,0.058,0.947,1.167,0.006,0.004,88.0,87.0,86.0,221.0,1.09
mu[57],1.169,0.062,1.057,1.285,0.004,0.003,258.0,257.0,259.0,797.0,1.03
mu[58],1.038,0.058,0.927,1.147,0.007,0.005,64.0,64.0,65.0,192.0,1.09
mu[59],1.033,0.057,0.921,1.139,0.004,0.003,170.0,170.0,170.0,355.0,1.05
mu[60],1.177,0.059,1.069,1.291,0.004,0.003,180.0,177.0,184.0,420.0,1.04
mu[61],1.122,0.058,1.014,1.233,0.005,0.003,145.0,145.0,140.0,524.0,1.06
mu[62],1.025,0.065,0.901,1.145,0.013,0.009,25.0,25.0,26.0,74.0,1.24
mu[63],1.391,0.065,1.272,1.518,0.005,0.004,164.0,163.0,165.0,470.0,1.05
mu[64],1.115,0.064,0.992,1.233,0.009,0.007,47.0,47.0,47.0,309.0,1.13
mu[65],1.016,0.058,0.911,1.13,0.004,0.003,226.0,226.0,227.0,814.0,1.04
mu[66],1.486,0.071,1.349,1.617,0.004,0.003,247.0,247.0,249.0,465.0,1.04
mu[67],1.021,0.06,0.907,1.128,0.005,0.004,141.0,141.0,144.0,595.0,1.05
mu[68],1.06,0.062,0.946,1.179,0.009,0.006,50.0,49.0,51.0,84.0,1.11
mu[69],1.021,0.061,0.907,1.14,0.008,0.006,62.0,61.0,62.0,88.0,1.09
mu[70],1.044,0.06,0.939,1.16,0.009,0.006,48.0,47.0,53.0,67.0,1.11
