,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
Z_aux[1352],-0.1,0.596,-1.228,0.987,0.067,0.047,80.0,80.0,80.0,291.0,1.07
Z_aux[1353],-0.764,0.574,-1.791,0.308,0.049,0.035,135.0,135.0,153.0,248.0,1.06
Z_aux[1354],-0.34,0.542,-1.316,0.798,0.044,0.031,152.0,152.0,151.0,294.0,1.05
Z_aux[1355],0.005,0.622,-1.183,1.157,0.058,0.041,116.0,116.0,118.0,232.0,1.07
Z_aux[1356],-0.115,0.574,-1.162,0.994,0.07,0.049,68.0,68.0,67.0,227.0,1.1
Z_aux[1357],0.135,0.584,-0.937,1.197,0.084,0.06,49.0,49.0,49.0,75.0,1.12
Z_aux[1358],0.136,0.602,-0.973,1.201,0.087,0.062,48.0,48.0,48.0,346.0,1.12
Z_aux[1359],0.148,0.583,-0.957,1.226,0.049,0.035,142.0,142.0,142.0,450.0,1.06
Z_aux[1360],0.006,0.602,-1.09,1.168,0.081,0.058,55.0,55.0,55.0,230.0,1.1
Z_aux[1361],-0.131,0.642,-1.317,1.198,0.114,0.081,32.0,32.0,35.0,35.0,1.16
Z_aux[1362],-0.158,0.6,-1.261,0.99,0.063,0.045,91.0,91.0,92.0,499.0,1.07
Z_aux[1363],-0.02,0.577,-1.092,1.086,0.1,0.071,33.0,33.0,33.0,131.0,1.17
Z_aux[1364],-0.569,0.535,-1.53,0.497,0.093,0.066,33.0,33.0,34.0,112.0,1.17
Z_aux[1365],-0.27,0.595,-1.401,0.804,0.055,0.039,116.0,116.0,116.0,460.0,1.05
Z_aux[1366],0.095,0.548,-0.949,1.131,0.033,0.023,282.0,282.0,283.0,541.0,1.02
Z_aux[1367],-0.185,0.53,-1.172,0.78,0.053,0.038,98.0,98.0,103.0,289.0,1.07
Z_aux[1368],-0.044,0.617,-1.231,1.077,0.058,0.041,112.0,112.0,113.0,315.0,1.05
Z_aux[1369],0.163,0.613,-1.024,1.273,0.07,0.05,76.0,76.0,74.0,265.0,1.08
Z_aux[1370],0.046,0.625,-1.14,1.204,0.12,0.086,27.0,27.0,28.0,65.0,1.21
Z_aux[1371],-0.807,0.556,-1.822,0.219,0.069,0.049,64.0,64.0,65.0,385.0,1.1
Z_aux[1372],0.079,0.561,-0.96,1.14,0.052,0.037,118.0,118.0,119.0,195.0,1.06
Z_aux[1373],-0.197,0.547,-1.186,0.861,0.06,0.042,84.0,84.0,81.0,286.0,1.08
Z_aux[1374],-0.025,0.622,-1.146,1.149,0.075,0.053,68.0,68.0,69.0,283.0,1.09
Z_aux[1375],-0.152,0.548,-1.173,0.861,0.047,0.033,138.0,138.0,144.0,383.0,1.06
Z_aux[1376],-0.273,0.602,-1.42,0.799,0.052,0.037,136.0,136.0,137.0,344.0,1.03
Z_aux[1377],0.022,0.581,-1.046,1.126,0.057,0.041,103.0,103.0,106.0,245.0,1.07
Z_aux[1378],-0.118,0.543,-1.194,0.908,0.04,0.028,188.0,188.0,189.0,344.0,1.04
Z_aux[1379],0.443,0.555,-0.625,1.465,0.048,0.034,132.0,132.0,133.0,279.0,1.04
Z_aux[1380],-0.162,0.597,-1.281,0.973,0.045,0.032,174.0,174.0,175.0,314.0,1.05
Z_aux[1381],0.006,0.556,-1.0,1.128,0.066,0.047,70.0,70.0,73.0,109.0,1.09
Z_aux[1382],-0.15,0.58,-1.3,0.915,0.087,0.062,44.0,44.0,47.0,67.0,1.12
Z_aux[1383],0.013,0.595,-1.14,1.132,0.115,0.082,27.0,27.0,27.0,32.0,1.23
Z_aux[1384],0.249,0.543,-0.861,1.16,0.062,0.044,76.0,76.0,77.0,503.0,1.08
Z_aux[1385],0.241,0.569,-0.914,1.239,0.053,0.038,115.0,115.0,105.0,268.0,1.06
Z_aux[1386],1.483,0.505,0.505,2.426,0.074,0.057,47.0,40.0,44.0,85.0,1.14
Z_aux[1387],0.252,0.612,-0.832,1.435,0.081,0.057,57.0,57.0,56.0,75.0,1.13
Z_aux[1388],0.091,0.6,-1.062,1.177,0.04,0.028,227.0,227.0,230.0,365.0,1.04
Z_aux[1389],-0.101,0.579,-1.177,0.967,0.053,0.038,119.0,119.0,122.0,316.0,1.06
Z_aux[1390],0.22,0.539,-0.842,1.147,0.066,0.047,66.0,66.0,67.0,381.0,1.08
Z_aux[1391],0.508,0.512,-0.431,1.489,0.06,0.042,73.0,73.0,75.0,232.0,1.08
Z_aux[1392],0.252,0.546,-0.719,1.325,0.037,0.026,216.0,216.0,216.0,589.0,1.03
Z_aux[1393],0.023,0.529,-0.929,0.978,0.076,0.054,48.0,48.0,50.0,274.0,1.12
Z_aux[1394],1.314,0.528,0.317,2.33,0.058,0.041,82.0,82.0,83.0,115.0,1.07
Z_aux[1395],-0.047,0.593,-1.126,1.106,0.061,0.043,96.0,96.0,96.0,271.0,1.08
Z_aux[1396],-0.192,0.541,-1.272,0.758,0.078,0.055,49.0,49.0,50.0,154.0,1.11
Z_aux[1397],0.063,0.562,-0.93,1.198,0.059,0.042,90.0,90.0,92.0,359.0,1.07
Z_aux[1398],0.12,0.611,-1.041,1.249,0.049,0.035,153.0,153.0,153.0,236.0,1.07
Z_aux[1399],-1.623,0.585,-2.757,-0.639,0.093,0.066,40.0,40.0,42.0,68.0,1.16
