,date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
17,2020-02-07,,,1.0,,6.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,
18,2020-02-08,,,1.0,,6.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,
19,2020-02-09,,,1.0,,6.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,
20,2020-02-10,,,1.0,,7.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,
21,2020-02-11,,,1.0,,7.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1.0,
22,2020-02-12,,,1.0,,7.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1,,1.0,
23,2020-02-13,,,1.0,,7.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1,,1.0,
24,2020-02-14,,,1.0,,7.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1,,1.0,
25,2020-02-15,,,1.0,,7.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1,,1.0,
26,2020-02-16,,,1.0,,7.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1,,1.0,
27,2020-02-17,,,1.0,,7.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,10.0,,,,,,,,,,,,,,,,,,2.0,,,,,1,,1.0,
28,2020-02-18,,,1.0,,7.0,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,10.0,,,,,,,,,,,,,,,,,,2.0,,,,,1,,1.0,
