Areaname,STCOU,PST045200F,PST045200D,PST045200N1,PST045200N2,PST045201F,PST045201D,PST045201N1,PST045201N2,PST045202F,PST045202D,PST045202N1,PST045202N2,PST045203F,PST045203D,PST045203N1,PST045203N2,PST045204F,PST045204D,PST045204N1,PST045204N2,PST045205F,PST045205D,PST045205N1,PST045205N2,PST045206F,PST045206D,PST045206N1,PST045206N2,PST045207F,PST045207D,PST045207N1,PST045207N2,PST045208F,PST045208D,PST045208N1,PST045208N2,PST045209F,PST045209D,PST045209N1,PST045209N2
"Hamilton, KS",20075,0,2658,0000,0000,0,2673,0000,0000,0,2667,0000,0000,0,2678,0000,0000,0,2619,0000,0000,0,2561,0000,0000,0,2548,0000,0000,0,2591,0000,0000,0,2591,0000,0000,0,2625,0000,0000
"Harper, KS",20077,0,6502,0000,0000,0,6389,0000,0000,0,6224,0000,0000,0,6184,0000,0000,0,6101,0000,0000,0,5970,0000,0000,0,5822,0000,0000,0,5741,0000,0000,0,5772,0000,0000,0,5667,0000,0000
"Harvey, KS",20079,0,32877,0000,0000,0,32923,0000,0000,0,33190,0000,0000,0,33314,0000,0000,0,33411,0000,0000,0,33397,0000,0000,0,33462,0000,0000,0,33623,0000,0000,0,33768,0000,0000,0,34247,0000,0000
"Haskell, KS",20081,0,4307,0000,0000,0,4229,0000,0000,0,4153,0000,0000,0,4151,0000,0000,0,4151,0000,0000,0,4139,0000,0000,0,4053,0000,0000,0,4036,0000,0000,0,3981,0000,0000,0,4006,0000,0000
"Hodgeman, KS",20083,0,2084,0000,0000,0,2125,0000,0000,0,2140,0000,0000,0,2117,0000,0000,0,2079,0000,0000,0,2023,0000,0000,0,2007,0000,0000,0,1935,0000,0000,0,1928,0000,0000,0,1906,0000,0000
"Jackson, KS",20085,0,12664,0000,0000,0,12685,0000,0000,0,12840,0000,0000,0,12992,0000,0000,0,13076,0000,0000,0,13363,0000,0000,0,13352,0000,0000,0,13356,0000,0000,0,13245,0000,0000,0,13412,0000,0000
"Jefferson, KS",20087,0,18442,0000,0000,0,18458,0000,0000,0,18480,0000,0000,0,18486,0000,0000,0,18602,0000,0000,0,18625,0000,0000,0,18391,0000,0000,0,18365,0000,0000,0,18311,0000,0000,0,18207,0000,0000
"Jewell, KS",20089,0,3759,0000,0000,0,3612,0000,0000,0,3496,0000,0000,0,3420,0000,0000,0,3345,0000,0000,0,3260,0000,0000,0,3248,0000,0000,0,3187,0000,0000,0,3123,0000,0000,0,3059,0000,0000
"Johnson, KS",20091,0,454644,0000,0000,0,463974,0000,0000,0,475918,0000,0000,0,486338,0000,0000,0,496358,0000,0000,0,505578,0000,0000,0,516285,0000,0000,0,525938,0000,0000,0,535000,0000,0000,0,542737,0000,0000
"Kearny, KS",20093,0,4512,0000,0000,0,4536,0000,0000,0,4447,0000,0000,0,4349,0000,0000,0,4361,0000,0000,0,4303,0000,0000,0,4233,0000,0000,0,4138,0000,0000,0,4140,0000,0000,0,4169,0000,0000
"Kingman, KS",20095,0,8677,0000,0000,0,8553,0000,0000,0,8392,0000,0000,0,8427,0000,0000,0,8285,0000,0000,0,8063,0000,0000,0,7901,0000,0000,0,7772,0000,0000,0,7637,0000,0000,0,7571,0000,0000
"Kiowa, KS",20097,0,3254,0000,0000,0,3133,0000,0000,0,3101,0000,0000,0,3107,0000,0000,0,3047,0000,0000,0,2984,0000,0000,0,2918,0000,0000,0,2708,0000,0000,0,2297,0000,0000,0,2322,0000,0000
"Labette, KS",20099,0,22737,0000,0000,0,22458,0000,0000,0,22248,0000,0000,0,22127,0000,0000,0,21938,0000,0000,0,21930,0000,0000,0,21940,0000,0000,0,21954,0000,0000,0,21807,0000,0000,0,21776,0000,0000
"Lane, KS",20101,0,2145,0000,0000,0,2099,0000,0000,0,1972,0000,0000,0,1943,0000,0000,0,1899,0000,0000,0,1828,0000,0000,0,1758,0000,0000,0,1738,0000,0000,0,1730,0000,0000,0,1742,0000,0000
"Leavenworth, KS",20103,0,68921,0000,0000,0,69796,0000,0000,0,70756,0000,0000,0,71205,0000,0000,0,71409,0000,0000,0,71762,0000,0000,0,72574,0000,0000,0,73603,0000,0000,0,74355,0000,0000,0,75227,0000,0000
"Lincoln, KS",20105,0,3574,0000,0000,0,3542,0000,0000,0,3482,0000,0000,0,3489,0000,0000,0,3355,0000,0000,0,3365,0000,0000,0,3272,0000,0000,0,3266,0000,0000,0,3221,0000,0000,0,3123,0000,0000
"Linn, KS",20107,0,9599,0000,0000,0,9712,0000,0000,0,9664,0000,0000,0,9669,0000,0000,0,9680,0000,0000,0,9833,0000,0000,0,9772,0000,0000,0,9593,0000,0000,0,9439,0000,0000,0,9335,0000,0000
"Logan, KS",20109,0,3048,0000,0000,0,2959,0000,0000,0,2927,0000,0000,0,2845,0000,0000,0,2804,0000,0000,0,2757,0000,0000,0,2666,0000,0000,0,2632,0000,0000,0,2601,0000,0000,0,2549,0000,0000
"Lyon, KS",20111,0,35965,0000,0000,0,36009,0000,0000,0,35749,0000,0000,0,35735,0000,0000,0,35861,0000,0000,0,35715,0000,0000,0,35575,0000,0000,0,35720,0000,0000,0,35318,0000,0000,0,33601,0000,0000
"McPherson, KS",20113,0,29571,0000,0000,0,29481,0000,0000,0,29211,0000,0000,0,29171,0000,0000,0,29174,0000,0000,0,29228,0000,0000,0,28986,0000,0000,0,29027,0000,0000,0,28814,0000,0000,0,28866,0000,0000
"Marion, KS",20115,0,13377,0000,0000,0,13293,0000,0000,0,13129,0000,0000,0,13000,0000,0000,0,12754,0000,0000,0,12623,0000,0000,0,12347,0000,0000,0,12187,0000,0000,0,12056,0000,0000,0,11982,0000,0000
"Marshall, KS",20117,0,10934,0000,0000,0,10794,0000,0000,0,10590,0000,0000,0,10449,0000,0000,0,10309,0000,0000,0,10265,0000,0000,0,10166,0000,0000,0,10158,0000,0000,0,10180,0000,0000,0,10123,0000,0000
"Meade, KS",20119,0,4622,0000,0000,0,4655,0000,0000,0,4637,0000,0000,0,4554,0000,0000,0,4516,0000,0000,0,4518,0000,0000,0,4452,0000,0000,0,4408,0000,0000,0,4407,0000,0000,0,4407,0000,0000
"Miami, KS",20121,0,28507,0000,0000,0,28589,0000,0000,0,28735,0000,0000,0,28926,0000,0000,0,29476,0000,0000,0,29895,0000,0000,0,30145,0000,0000,0,30761,0000,0000,0,30787,0000,0000,0,30969,0000,0000
"Mitchell, KS",20123,0,6911,0000,0000,0,6762,0000,0000,0,6685,0000,0000,0,6650,0000,0000,0,6493,0000,0000,0,6384,0000,0000,0,6314,0000,0000,0,6310,0000,0000,0,6293,0000,0000,0,6344,0000,0000
"Montgomery, KS",20125,0,36205,0000,0000,0,35750,0000,0000,0,35154,0000,0000,0,34648,0000,0000,0,34493,0000,0000,0,34212,0000,0000,0,34265,0000,0000,0,34402,0000,0000,0,34277,0000,0000,0,34254,0000,0000
"Morris, KS",20127,0,6113,0000,0000,0,6059,0000,0000,0,5982,0000,0000,0,5923,0000,0000,0,5906,0000,0000,0,5948,0000,0000,0,5930,0000,0000,0,5943,0000,0000,0,6017,0000,0000,0,5994,0000,0000
"Morton, KS",20129,0,3480,0000,0000,0,3366,0000,0000,0,3336,0000,0000,0,3325,0000,0000,0,3227,0000,0000,0,3176,0000,0000,0,3138,0000,0000,0,3087,0000,0000,0,3051,0000,0000,0,3031,0000,0000
"Nemaha, KS",20131,0,10684,0000,0000,0,10465,0000,0000,0,10449,0000,0000,0,10408,0000,0000,0,10292,0000,0000,0,10233,0000,0000,0,10183,0000,0000,0,10148,0000,0000,0,10060,0000,0000,0,9968,0000,0000
"Neosho, KS",20133,0,16944,0000,0000,0,16836,0000,0000,0,16609,0000,0000,0,16437,0000,0000,0,16425,0000,0000,0,16289,0000,0000,0,16120,0000,0000,0,16168,0000,0000,0,16139,0000,0000,0,16046,0000,0000
"Ness, KS",20135,0,3440,0000,0000,0,3361,0000,0000,0,3299,0000,0000,0,3193,0000,0000,0,3116,0000,0000,0,3052,0000,0000,0,2988,0000,0000,0,2961,0000,0000,0,2909,0000,0000,0,2835,0000,0000
"Norton, KS",20137,0,5948,0000,0000,0,5814,0000,0000,0,5760,0000,0000,0,5727,0000,0000,0,5631,0000,0000,0,5570,0000,0000,0,5519,0000,0000,0,5441,0000,0000,0,5418,0000,0000,0,5330,0000,0000
"Osage, KS",20139,0,16758,0000,0000,0,16639,0000,0000,0,16650,0000,0000,0,16659,0000,0000,0,16754,0000,0000,0,16753,0000,0000,0,16494,0000,0000,0,16315,0000,0000,0,16266,0000,0000,0,16104,0000,0000
"Osborne, KS",20141,0,4435,0000,0000,0,4333,0000,0000,0,4261,0000,0000,0,4114,0000,0000,0,4051,0000,0000,0,3982,0000,0000,0,3937,0000,0000,0,3852,0000,0000,0,3804,0000,0000,0,3849,0000,0000
"Ottawa, KS",20143,0,6189,0000,0000,0,6120,0000,0000,0,6148,0000,0000,0,6091,0000,0000,0,6034,0000,0000,0,5998,0000,0000,0,5990,0000,0000,0,5970,0000,0000,0,5993,0000,0000,0,5974,0000,0000
"Pawnee, KS",20145,0,7218,0000,0000,0,7009,0000,0000,0,6874,0000,0000,0,6764,0000,0000,0,6699,0000,0000,0,6661,0000,0000,0,6447,0000,0000,0,6401,0000,0000,0,6256,0000,0000,0,6206,0000,0000
"Phillips, KS",20147,0,5994,0000,0000,0,5860,0000,0000,0,5751,0000,0000,0,5626,0000,0000,0,5584,0000,0000,0,5439,0000,0000,0,5335,0000,0000,0,5315,0000,0000,0,5282,0000,0000,0,5272,0000,0000
"Pottawatomie, KS",20149,0,18277,0000,0000,0,18273,0000,0000,0,18324,0000,0000,0,18539,0000,0000,0,18676,0000,0000,0,18787,0000,0000,0,18925,0000,0000,0,19471,0000,0000,0,19779,0000,0000,0,19994,0000,0000
"Pratt, KS",20151,0,9629,0000,0000,0,9525,0000,0000,0,9579,0000,0000,0,9441,0000,0000,0,9322,0000,0000,0,9407,0000,0000,0,9409,0000,0000,0,9407,0000,0000,0,9366,0000,0000,0,9304,0000,0000
"Rawlins, KS",20153,0,2959,0000,0000,0,2875,0000,0000,0,2846,0000,0000,0,2765,0000,0000,0,2690,0000,0000,0,2601,0000,0000,0,2557,0000,0000,0,2536,0000,0000,0,2466,0000,0000,0,2425,0000,0000
"Reno, KS",20155,0,64691,0000,0000,0,64467,0000,0000,0,63961,0000,0000,0,63667,0000,0000,0,63363,0000,0000,0,63256,0000,0000,0,63215,0000,0000,0,63015,0000,0000,0,63227,0000,0000,0,63357,0000,0000
"Republic, KS",20157,0,5801,0000,0000,0,5650,0000,0000,0,5421,0000,0000,0,5296,0000,0000,0,5159,0000,0000,0,5083,0000,0000,0,4974,0000,0000,0,4914,0000,0000,0,4832,0000,0000,0,4808,0000,0000
"Rice, KS",20159,0,10732,0000,0000,0,10607,0000,0000,0,10517,0000,0000,0,10442,0000,0000,0,10462,0000,0000,0,10348,0000,0000,0,10168,0000,0000,0,10039,0000,0000,0,10128,0000,0000,0,10079,0000,0000
"Riley, KS",20161,0,63085,0000,0000,0,63371,0000,0000,0,63755,0000,0000,0,65474,0000,0000,0,66144,0000,0000,0,67507,0000,0000,0,69164,0000,0000,0,69406,0000,0000,0,71113,0000,0000,0,71341,0000,0000
"Rooks, KS",20163,0,5663,0000,0000,0,5547,0000,0000,0,5452,0000,0000,0,5378,0000,0000,0,5326,0000,0000,0,5252,0000,0000,0,5198,0000,0000,0,5134,0000,0000,0,5088,0000,0000,0,4984,0000,0000
"Rush, KS",20165,0,3534,0000,0000,0,3494,0000,0000,0,3423,0000,0000,0,3390,0000,0000,0,3378,0000,0000,0,3304,0000,0000,0,3203,0000,0000,0,3169,0000,0000,0,3197,0000,0000,0,3143,0000,0000
"Russell, KS",20167,0,7353,0000,0000,0,7151,0000,0000,0,7007,0000,0000,0,6936,0000,0000,0,6954,0000,0000,0,6769,0000,0000,0,6701,0000,0000,0,6724,0000,0000,0,6633,0000,0000,0,6596,0000,0000
"Saline, KS",20169,0,53646,0000,0000,0,53869,0000,0000,0,53988,0000,0000,0,53738,0000,0000,0,53808,0000,0000,0,53888,0000,0000,0,53914,0000,0000,0,54105,0000,0000,0,54109,0000,0000,0,54364,0000,0000
"Scott, KS",20171,0,5096,0000,0000,0,5077,0000,0000,0,4900,0000,0000,0,4775,0000,0000,0,4601,0000,0000,0,4629,0000,0000,0,4572,0000,0000,0,4523,0000,0000,0,4517,0000,0000,0,4560,0000,0000
"Sedgwick, KS",20173,0,453546,0000,0000,0,456251,0000,0000,0,459961,0000,0000,0,460981,0000,0000,0,461872,0000,0000,0,464383,0000,0000,0,468338,0000,0000,0,475075,0000,0000,0,482317,0000,0000,0,490864,0000,0000
"Seward, KS",20175,0,22545,0000,0000,0,22518,0000,0000,0,22702,0000,0000,0,22688,0000,0000,0,22623,0000,0000,0,22449,0000,0000,0,22396,0000,0000,0,22637,0000,0000,0,22747,0000,0000,0,23013,0000,0000
"Shawnee, KS",20177,0,170063,0000,0000,0,170345,0000,0000,0,170349,0000,0000,0,170744,0000,0000,0,171178,0000,0000,0,171568,0000,0000,0,172563,0000,0000,0,173764,0000,0000,0,175073,0000,0000,0,176255,0000,0000
"Sheridan, KS",20179,0,2794,0000,0000,0,2708,0000,0000,0,2636,0000,0000,0,2603,0000,0000,0,2521,0000,0000,0,2524,0000,0000,0,2478,0000,0000,0,2454,0000,0000,0,2463,0000,0000,0,2435,0000,0000
"Sherman, KS",20181,0,6746,0000,0000,0,6589,0000,0000,0,6359,0000,0000,0,6237,0000,0000,0,6113,0000,0000,0,6064,0000,0000,0,5872,0000,0000,0,5890,0000,0000,0,5891,0000,0000,0,5860,0000,0000
"Smith, KS",20183,0,4515,0000,0000,0,4406,0000,0000,0,4291,0000,0000,0,4219,0000,0000,0,4153,0000,0000,0,4082,0000,0000,0,3997,0000,0000,0,3946,0000,0000,0,3852,0000,0000,0,3753,0000,0000
"Stafford, KS",20185,0,4751,0000,0000,0,4712,0000,0000,0,4627,0000,0000,0,4529,0000,0000,0,4432,0000,0000,0,4427,0000,0000,0,4387,0000,0000,0,4400,0000,0000,0,4346,0000,0000,0,4342,0000,0000
"Stanton, KS",20187,0,2402,0000,0000,0,2410,0000,0000,0,2413,0000,0000,0,2350,0000,0000,0,2328,0000,0000,0,2218,0000,0000,0,2174,0000,0000,0,2136,0000,0000,0,2126,0000,0000,0,2107,0000,0000
"Stevens, KS",20189,0,5449,0000,0000,0,5366,0000,0000,0,5330,0000,0000,0,5308,0000,0000,0,5405,0000,0000,0,5323,0000,0000,0,5169,0000,0000,0,5045,0000,0000,0,5055,0000,0000,0,5129,0000,0000
"Sumner, KS",20191,0,25947,0000,0000,0,25631,0000,0000,0,25352,0000,0000,0,25011,0000,0000,0,24834,0000,0000,0,24404,0000,0000,0,24038,0000,0000,0,23757,0000,0000,0,23668,0000,0000,0,23488,0000,0000
"Thomas, KS",20193,0,8176,0000,0000,0,8120,0000,0000,0,8031,0000,0000,0,7905,0000,0000,0,7745,0000,0000,0,7554,0000,0000,0,7471,0000,0000,0,7387,0000,0000,0,7344,0000,0000,0,7343,0000,0000
"Trego, KS",20195,0,3292,0000,0000,0,3229,0000,0000,0,3136,0000,0000,0,3087,0000,0000,0,3102,0000,0000,0,3001,0000,0000,0,2961,0000,0000,0,2942,0000,0000,0,2922,0000,0000,0,2920,0000,0000
"Wabaunsee, KS",20197,0,6873,0000,0000,0,6779,0000,0000,0,6705,0000,0000,0,6686,0000,0000,0,6721,0000,0000,0,6793,0000,0000,0,6688,0000,0000,0,6815,0000,0000,0,6879,0000,0000,0,6846,0000,0000
"Wallace, KS",20199,0,1740,0000,0000,0,1694,0000,0000,0,1662,0000,0000,0,1605,0000,0000,0,1537,0000,0000,0,1498,0000,0000,0,1488,0000,0000,0,1432,0000,0000,0,1395,0000,0000,0,1408,0000,0000
"Washington, KS",20201,0,6472,0000,0000,0,6319,0000,0000,0,6219,0000,0000,0,6149,0000,0000,0,6045,0000,0000,0,5973,0000,0000,0,5884,0000,0000,0,5804,0000,0000,0,5762,0000,0000,0,5683,0000,0000
"Wichita, KS",20203,0,2518,0000,0000,0,2499,0000,0000,0,2426,0000,0000,0,2388,0000,0000,0,2293,0000,0000,0,2289,0000,0000,0,2203,0000,0000,0,2168,0000,0000,0,2117,0000,0000,0,2109,0000,0000
"Wilson, KS",20205,0,10304,0000,0000,0,10216,0000,0000,0,10103,0000,0000,0,10053,0000,0000,0,9778,0000,0000,0,9758,0000,0000,0,9733,0000,0000,0,9778,0000,0000,0,9595,0000,0000,0,9474,0000,0000
"Woodson, KS",20207,0,3763,0000,0000,0,3745,0000,0000,0,3595,0000,0000,0,3552,0000,0000,0,3454,0000,0000,0,3475,0000,0000,0,3377,0000,0000,0,3290,0000,0000,0,3271,0000,0000,0,3240,0000,0000
"Wyandotte, KS",20209,0,157857,0000,0000,0,158246,0000,0000,0,157236,0000,0000,0,155790,0000,0000,0,154271,0000,0000,0,153586,0000,0000,0,152810,0000,0000,0,153317,0000,0000,0,153968,0000,0000,0,155085,0000,0000
KENTUCKY,21000,0,4048903,0000,0000,0,4069191,0000,0000,0,4091330,0000,0000,0,4118627,0000,0000,0,4147970,0000,0000,0,4182293,0000,0000,0,4219374,0000,0000,0,4256278,0000,0000,0,4287931,0000,0000,0,4314113,0000,0000
"Adair, KY",21001,0,17285,0000,0000,0,17471,0000,0000,0,17575,0000,0000,0,17645,0000,0000,0,17645,0000,0000,0,17695,0000,0000,0,17821,0000,0000,0,17906,0000,0000,0,17909,0000,0000,0,18029,0000,0000
"Allen, KY",21003,0,17810,0000,0000,0,17853,0000,0000,0,18034,0000,0000,0,18143,0000,0000,0,18315,0000,0000,0,18425,0000,0000,0,18687,0000,0000,0,18856,0000,0000,0,19047,0000,0000,0,18982,0000,0000
"Anderson, KY",21005,0,19184,0000,0000,0,19459,0000,0000,0,19434,0000,0000,0,19657,0000,0000,0,19908,0000,0000,0,20220,0000,0000,0,20800,0000,0000,0,21334,0000,0000,0,21468,0000,0000,0,21790,0000,0000
"Ballard, KY",21007,0,8300,0000,0000,0,8218,0000,0000,0,8151,0000,0000,0,8230,0000,0000,0,8217,0000,0000,0,8238,0000,0000,0,8169,0000,0000,0,8138,0000,0000,0,8200,0000,0000,0,8161,0000,0000
"Barren, KY",21009,0,38118,0000,0000,0,38463,0000,0000,0,38599,0000,0000,0,38981,0000,0000,0,39371,0000,0000,0,40022,0000,0000,0,40510,0000,0000,0,41068,0000,0000,0,41419,0000,0000,0,41747,0000,0000
"Bath, KY",21011,0,11128,0000,0000,0,11287,0000,0000,0,11417,0000,0000,0,11442,0000,0000,0,11466,0000,0000,0,11560,0000,0000,0,11583,0000,0000,0,11514,0000,0000,0,11708,0000,0000,0,11618,0000,0000
"Bell, KY",21013,0,30041,0000,0000,0,29624,0000,0000,0,29784,0000,0000,0,29579,0000,0000,0,29402,0000,0000,0,29271,0000,0000,0,29127,0000,0000,0,29027,0000,0000,0,29066,0000,0000,0,28972,0000,0000
"Boone, KY",21015,0,87006,0000,0000,0,90251,0000,0000,0,93362,0000,0000,0,96717,0000,0000,0,100936,0000,0000,0,105628,0000,0000,0,109560,0000,0000,0,112806,0000,0000,0,115999,0000,0000,0,118576,0000,0000
"Bourbon, KY",21017,0,19364,0000,0000,0,19409,0000,0000,0,19381,0000,0000,0,19442,0000,0000,0,19576,0000,0000,0,19703,0000,0000,0,19566,0000,0000,0,19612,0000,0000,0,19732,0000,0000,0,19729,0000,0000
"Boyd, KY",21019,0,49662,0000,0000,0,49565,0000,0000,0,49440,0000,0000,0,49495,0000,0000,0,49193,0000,0000,0,48931,0000,0000,0,48747,0000,0000,0,48565,0000,0000,0,48573,0000,0000,0,48527,0000,0000
"Boyle, KY",21021,0,27703,0000,0000,0,27627,0000,0000,0,27723,0000,0000,0,27807,0000,0000,0,28319,0000,0000,0,28513,0000,0000,0,28714,0000,0000,0,28909,0000,0000,0,29173,0000,0000,0,29263,0000,0000
"Bracken, KY",21023,0,8277,0000,0000,0,8360,0000,0000,0,8450,0000,0000,0,8439,0000,0000,0,8662,0000,0000,0,8614,0000,0000,0,8581,0000,0000,0,8607,0000,0000,0,8637,0000,0000,0,8653,0000,0000
"Breathitt, KY",21025,0,16061,0000,0000,0,15912,0000,0000,0,15772,0000,0000,0,15689,0000,0000,0,15746,0000,0000,0,15729,0000,0000,0,15656,0000,0000,0,15595,0000,0000,0,15652,0000,0000,0,15575,0000,0000
"Breckinridge, KY",21027,0,18678,0000,0000,0,18741,0000,0000,0,18834,0000,0000,0,18900,0000,0000,0,18913,0000,0000,0,19052,0000,0000,0,18957,0000,0000,0,19074,0000,0000,0,19144,0000,0000,0,19057,0000,0000
"Bullitt, KY",21029,0,61633,0000,0000,0,63202,0000,0000,0,64823,0000,0000,0,66566,0000,0000,0,68927,0000,0000,0,71114,0000,0000,0,72398,0000,0000,0,73737,0000,0000,0,74736,0000,0000,0,75653,0000,0000
"Butler, KY",21031,0,13039,0000,0000,0,13138,0000,0000,0,13149,0000,0000,0,13217,0000,0000,0,13383,0000,0000,0,13304,0000,0000,0,13402,0000,0000,0,13294,0000,0000,0,13358,0000,0000,0,13329,0000,0000
"Caldwell, KY",21033,0,13039,0000,0000,0,12846,0000,0000,0,12792,0000,0000,0,12779,0000,0000,0,12744,0000,0000,0,12769,0000,0000,0,12769,0000,0000,0,12816,0000,0000,0,12884,0000,0000,0,12870,0000,0000
"Calloway, KY",21035,0,34171,0000,0000,0,34396,0000,0000,0,34404,0000,0000,0,34718,0000,0000,0,35087,0000,0000,0,35477,0000,0000,0,35988,0000,0000,0,36161,0000,0000,0,36204,0000,0000,0,36348,0000,0000
"Campbell, KY",21037,0,88659,0000,0000,0,88689,0000,0000,0,88292,0000,0000,0,87774,0000,0000,0,87366,0000,0000,0,87273,0000,0000,0,87133,0000,0000,0,87302,0000,0000,0,87413,0000,0000,0,88423,0000,0000
"Carlisle, KY",21039,0,5342,0000,0000,0,5319,0000,0000,0,5319,0000,0000,0,5275,0000,0000,0,5290,0000,0000,0,5249,0000,0000,0,5255,0000,0000,0,5156,0000,0000,0,5156,0000,0000,0,5209,0000,0000
"Carroll, KY",21041,0,10162,0000,0000,0,10162,0000,0000,0,10270,0000,0000,0,10310,0000,0000,0,10304,0000,0000,0,10420,0000,0000,0,10425,0000,0000,0,10498,0000,0000,0,10636,0000,0000,0,10703,0000,0000
"Carter, KY",21043,0,26867,0000,0000,0,26908,0000,0000,0,27094,0000,0000,0,27231,0000,0000,0,27168,0000,0000,0,27306,0000,0000,0,27367,0000,0000,0,27316,0000,0000,0,27040,0000,0000,0,26771,0000,0000
"Casey, KY",21045,0,15481,0000,0000,0,15631,0000,0000,0,15801,0000,0000,0,15857,0000,0000,0,16003,0000,0000,0,16115,0000,0000,0,16224,0000,0000,0,16294,0000,0000,0,16400,0000,0000,0,16498,0000,0000
"Christian, KY",21047,0,72414,0000,0000,0,74763,0000,0000,0,76031,0000,0000,0,77171,0000,0000,0,77737,0000,0000,0,78098,0000,0000,0,78459,0000,0000,0,80944,0000,0000,0,79690,0000,0000,0,80938,0000,0000
"Clark, KY",21049,0,33223,0000,0000,0,33443,0000,0000,0,33522,0000,0000,0,33825,0000,0000,0,34245,0000,0000,0,34653,0000,0000,0,35169,0000,0000,0,35656,0000,0000,0,35767,0000,0000,0,36159,0000,0000
"Clay, KY",21051,0,24503,0000,0000,0,24480,0000,0000,0,24488,0000,0000,0,24300,0000,0000,0,24118,0000,0000,0,23955,0000,0000,0,23885,0000,0000,0,23685,0000,0000,0,23805,0000,0000,0,23629,0000,0000
"Clinton, KY",21053,0,9629,0000,0000,0,9598,0000,0000,0,9572,0000,0000,0,9538,0000,0000,0,9505,0000,0000,0,9457,0000,0000,0,9376,0000,0000,0,9474,0000,0000,0,9507,0000,0000,0,9403,0000,0000
"Crittenden, KY",21055,0,9404,0000,0000,0,9284,0000,0000,0,9168,0000,0000,0,9157,0000,0000,0,9025,0000,0000,0,9011,0000,0000,0,9111,0000,0000,0,9095,0000,0000,0,9214,0000,0000,0,9110,0000,0000
"Cumberland, KY",21057,0,7163,0000,0000,0,7130,0000,0000,0,7115,0000,0000,0,7076,0000,0000,0,7092,0000,0000,0,6947,0000,0000,0,6933,0000,0000,0,6814,0000,0000,0,6762,0000,0000,0,6706,0000,0000
"Daviess, KY",21059,0,91607,0000,0000,0,91605,0000,0000,0,91639,0000,0000,0,92144,0000,0000,0,92352,0000,0000,0,92614,0000,0000,0,93270,0000,0000,0,93974,0000,0000,0,94621,0000,0000,0,95394,0000,0000
"Edmonson, KY",21061,0,11654,0000,0000,0,11753,0000,0000,0,11771,0000,0000,0,11794,0000,0000,0,11797,0000,0000,0,11939,0000,0000,0,11892,0000,0000,0,11949,0000,0000,0,11997,0000,0000,0,11926,0000,0000
"Elliott, KY",21063,0,6781,0000,0000,0,6715,0000,0000,0,6724,0000,0000,0,6808,0000,0000,0,6774,0000,0000,0,7525,0000,0000,0,8010,0000,0000,0,8172,0000,0000,0,8665,0000,0000,0,9083,0000,0000
"Estill, KY",21065,0,15309,0000,0000,0,15316,0000,0000,0,15234,0000,0000,0,15063,0000,0000,0,14980,0000,0000,0,14861,0000,0000,0,14888,0000,0000,0,14893,0000,0000,0,14899,0000,0000,0,14859,0000,0000
"Fayette, KY",21067,0,261189,0000,0000,0,264544,0000,0000,0,266953,0000,0000,0,271441,0000,0000,0,274581,0000,0000,0,278313,0000,0000,0,283324,0000,0000,0,287263,0000,0000,0,292240,0000,0000,0,296545,0000,0000
"Fleming, KY",21069,0,13856,0000,0000,0,14077,0000,0000,0,14168,0000,0000,0,14363,0000,0000,0,14446,0000,0000,0,14483,0000,0000,0,14487,0000,0000,0,14659,0000,0000,0,14722,0000,0000,0,14667,0000,0000
"Floyd, KY",21071,0,42380,0000,0000,0,42148,0000,0000,0,42216,0000,0000,0,42077,0000,0000,0,42111,0000,0000,0,42045,0000,0000,0,41878,0000,0000,0,42029,0000,0000,0,41975,0000,0000,0,41899,0000,0000
"Franklin, KY",21073,0,47848,0000,0000,0,48115,0000,0000,0,48179,0000,0000,0,48079,0000,0000,0,48338,0000,0000,0,48377,0000,0000,0,48428,0000,0000,0,48540,0000,0000,0,49017,0000,0000,0,48968,0000,0000
"Fulton, KY",21075,0,7697,0000,0000,0,7758,0000,0000,0,7569,0000,0000,0,7431,0000,0000,0,7276,0000,0000,0,7089,0000,0000,0,6867,0000,0000,0,6862,0000,0000,0,6958,0000,0000,0,6814,0000,0000
"Gallatin, KY",21077,0,7884,0000,0000,0,7984,0000,0000,0,7833,0000,0000,0,7990,0000,0000,0,7977,0000,0000,0,8040,0000,0000,0,8030,0000,0000,0,8076,0000,0000,0,8101,0000,0000,0,8202,0000,0000
"Garrard, KY",21079,0,14862,0000,0000,0,15119,0000,0000,0,15546,0000,0000,0,15831,0000,0000,0,15995,0000,0000,0,16376,0000,0000,0,16672,0000,0000,0,16990,0000,0000,0,17020,0000,0000,0,17085,0000,0000
"Grant, KY",21081,0,22545,0000,0000,0,23106,0000,0000,0,23518,0000,0000,0,23893,0000,0000,0,24212,0000,0000,0,24421,0000,0000,0,24766,0000,0000,0,25161,0000,0000,0,25548,0000,0000,0,25542,0000,0000
"Graves, KY",21083,0,37083,0000,0000,0,36994,0000,0000,0,36980,0000,0000,0,37168,0000,0000,0,37144,0000,0000,0,37353,0000,0000,0,37373,0000,0000,0,37562,0000,0000,0,37573,0000,0000,0,37719,0000,0000
"Grayson, KY",21085,0,24116,0000,0000,0,24173,0000,0000,0,24216,0000,0000,0,24594,0000,0000,0,24884,0000,0000,0,25075,0000,0000,0,25166,0000,0000,0,25312,0000,0000,0,25466,0000,0000,0,25581,0000,0000
