Areaname,STCOU,PST045200F,PST045200D,PST045200N1,PST045200N2,PST045201F,PST045201D,PST045201N1,PST045201N2,PST045202F,PST045202D,PST045202N1,PST045202N2,PST045203F,PST045203D,PST045203N1,PST045203N2,PST045204F,PST045204D,PST045204N1,PST045204N2,PST045205F,PST045205D,PST045205N1,PST045205N2,PST045206F,PST045206D,PST045206N1,PST045206N2,PST045207F,PST045207D,PST045207N1,PST045207N2,PST045208F,PST045208D,PST045208N1,PST045208N2,PST045209F,PST045209D,PST045209N1,PST045209N2
"Calvert, MD",24009,0,75163,0000,0000,0,77342,0000,0000,0,80396,0000,0000,0,83369,0000,0000,0,85341,0000,0000,0,86778,0000,0000,0,87608,0000,0000,0,88119,0000,0000,0,88560,0000,0000,0,89212,0000,0000
"Caroline, MD",24011,0,29828,0000,0000,0,29905,0000,0000,0,30169,0000,0000,0,30681,0000,0000,0,30807,0000,0000,0,31591,0000,0000,0,32423,0000,0000,0,32973,0000,0000,0,33279,0000,0000,0,33367,0000,0000
"Carroll, MD",24013,0,151580,0000,0000,0,154475,0000,0000,0,158644,0000,0000,0,162301,0000,0000,0,165089,0000,0000,0,166926,0000,0000,0,168639,0000,0000,0,169373,0000,0000,0,169794,0000,0000,0,170089,0000,0000
"Cecil, MD",24015,0,86464,0000,0000,0,88256,0000,0000,0,90059,0000,0000,0,92369,0000,0000,0,94674,0000,0000,0,96631,0000,0000,0,98568,0000,0000,0,99400,0000,0000,0,99949,0000,0000,0,100796,0000,0000
"Charles, MD",24017,0,121203,0000,0000,0,124699,0000,0000,0,127796,0000,0000,0,131475,0000,0000,0,134561,0000,0000,0,137180,0000,0000,0,139383,0000,0000,0,140672,0000,0000,0,141444,0000,0000,0,142226,0000,0000
"Dorchester, MD",24019,0,30586,0000,0000,0,30600,0000,0000,0,30428,0000,0000,0,30460,0000,0000,0,30847,0000,0000,0,31110,0000,0000,0,31299,0000,0000,0,31762,0000,0000,0,32017,0000,0000,0,32043,0000,0000
"Frederick, MD",24021,0,196522,0000,0000,0,201994,0000,0000,0,208593,0000,0000,0,212882,0000,0000,0,216418,0000,0000,0,219416,0000,0000,0,222024,0000,0000,0,224978,0000,0000,0,226525,0000,0000,0,227980,0000,0000
"Garrett, MD",24023,0,29824,0000,0000,0,29724,0000,0000,0,29821,0000,0000,0,29915,0000,0000,0,29806,0000,0000,0,29654,0000,0000,0,29642,0000,0000,0,29648,0000,0000,0,29658,0000,0000,0,29555,0000,0000
"Harford, MD",24025,0,219472,0000,0000,0,222323,0000,0000,0,226862,0000,0000,0,230834,0000,0000,0,234003,0000,0000,0,237358,0000,0000,0,239903,0000,0000,0,240316,0000,0000,0,241393,0000,0000,0,242514,0000,0000
"Howard, MD",24027,0,249599,0000,0000,0,255157,0000,0000,0,259379,0000,0000,0,262859,0000,0000,0,265385,0000,0000,0,267788,0000,0000,0,270741,0000,0000,0,274038,0000,0000,0,277187,0000,0000,0,281884,0000,0000
"Kent, MD",24029,0,19266,0000,0000,0,19363,0000,0000,0,19491,0000,0000,0,19544,0000,0000,0,19578,0000,0000,0,19749,0000,0000,0,19854,0000,0000,0,19872,0000,0000,0,20269,0000,0000,0,20247,0000,0000
"Montgomery, MD",24031,0,877363,0000,0000,0,893275,0000,0000,0,906145,0000,0000,0,914893,0000,0000,0,920965,0000,0000,0,928916,0000,0000,0,935168,0000,0000,0,941491,0000,0000,0,953685,0000,0000,0,971600,0000,0000
"Prince George's, MD",24033,0,803189,0000,0000,0,815028,0000,0000,0,824290,0000,0000,0,830923,0000,0000,0,836103,0000,0000,0,840513,0000,0000,0,836644,0000,0000,0,832699,0000,0000,0,830514,0000,0000,0,834560,0000,0000
"Queen Anne's, MD",24035,0,40765,0000,0000,0,41295,0000,0000,0,42600,0000,0000,0,43800,0000,0000,0,44562,0000,0000,0,45056,0000,0000,0,45957,0000,0000,0,46831,0000,0000,0,47465,0000,0000,0,47958,0000,0000
"St. Mary's, MD",24037,0,86521,0000,0000,0,87468,0000,0000,0,89897,0000,0000,0,92664,0000,0000,0,94959,0000,0000,0,96982,0000,0000,0,98653,0000,0000,0,100401,0000,0000,0,101664,0000,0000,0,102999,0000,0000
"Somerset, MD",24039,0,24718,0000,0000,0,25156,0000,0000,0,25373,0000,0000,0,25411,0000,0000,0,25622,0000,0000,0,25551,0000,0000,0,25853,0000,0000,0,26220,0000,0000,0,26131,0000,0000,0,25959,0000,0000
"Talbot, MD",24041,0,33890,0000,0000,0,34103,0000,0000,0,34360,0000,0000,0,34563,0000,0000,0,35201,0000,0000,0,35657,0000,0000,0,36063,0000,0000,0,36077,0000,0000,0,36112,0000,0000,0,36262,0000,0000
"Washington, MD",24043,0,132101,0000,0000,0,133000,0000,0000,0,134583,0000,0000,0,136379,0000,0000,0,138765,0000,0000,0,141195,0000,0000,0,143234,0000,0000,0,144999,0000,0000,0,145450,0000,0000,0,145910,0000,0000
"Wicomico, MD",24045,0,84864,0000,0000,0,85304,0000,0000,0,85995,0000,0000,0,87346,0000,0000,0,88665,0000,0000,0,90489,0000,0000,0,92224,0000,0000,0,93343,0000,0000,0,93859,0000,0000,0,94222,0000,0000
"Worcester, MD",24047,0,46772,0000,0000,0,47598,0000,0000,0,48209,0000,0000,0,48705,0000,0000,0,48902,0000,0000,0,48828,0000,0000,0,49067,0000,0000,0,49221,0000,0000,0,49169,0000,0000,0,49122,0000,0000
"Baltimore city, MD",24510,0,648654,0000,0000,0,645253,0000,0000,0,642246,0000,0000,0,642324,0000,0000,0,641004,0000,0000,0,640064,0000,0000,0,640961,0000,0000,0,640150,0000,0000,0,638091,0000,0000,0,637418,0000,0000
MASSACHUSETTS,25000,0,6363015,0000,0000,0,6411730,0000,0000,0,6440978,0000,0000,0,6451637,0000,0000,0,6451279,0000,0000,0,6453031,0000,0000,0,6466399,0000,0000,0,6499275,0000,0000,0,6543595,0000,0000,0,6593587,0000,0000
"Barnstable, MA",25001,0,223245,0000,0000,0,224928,0000,0000,0,226893,0000,0000,0,228038,0000,0000,0,226728,0000,0000,0,224877,0000,0000,0,223351,0000,0000,0,222246,0000,0000,0,221521,0000,0000,0,221151,0000,0000
"Berkshire, MA",25003,0,134787,0000,0000,0,133723,0000,0000,0,133101,0000,0000,0,132672,0000,0000,0,132052,0000,0000,0,131268,0000,0000,0,130494,0000,0000,0,130219,0000,0000,0,129571,0000,0000,0,129288,0000,0000
"Bristol, MA",25005,0,536008,0000,0000,0,538299,0000,0000,0,542717,0000,0000,0,545819,0000,0000,0,545460,0000,0000,0,544688,0000,0000,0,543634,0000,0000,0,544487,0000,0000,0,545810,0000,0000,0,547433,0000,0000
"Dukes, MA",25007,0,15072,0000,0000,0,15201,0000,0000,0,15380,0000,0000,0,15487,0000,0000,0,15520,0000,0000,0,15517,0000,0000,0,15487,0000,0000,0,15627,0000,0000,0,15772,0000,0000,0,15974,0000,0000
"Essex, MA",25009,0,725379,0000,0000,0,730782,0000,0000,0,733096,0000,0000,0,732303,0000,0000,0,730901,0000,0000,0,730256,0000,0000,0,731174,0000,0000,0,733066,0000,0000,0,737365,0000,0000,0,742582,0000,0000
"Franklin, MA",25011,0,71499,0000,0000,0,71593,0000,0000,0,71830,0000,0000,0,71870,0000,0000,0,71933,0000,0000,0,71929,0000,0000,0,71774,0000,0000,0,71771,0000,0000,0,71877,0000,0000,0,71778,0000,0000
"Hampden, MA",25013,0,456573,0000,0000,0,457723,0000,0000,0,460848,0000,0000,0,463442,0000,0000,0,464622,0000,0000,0,465871,0000,0000,0,466944,0000,0000,0,467756,0000,0000,0,469204,0000,0000,0,471081,0000,0000
"Hampshire, MA",25015,0,152381,0000,0000,0,152304,0000,0000,0,153011,0000,0000,0,153845,0000,0000,0,153998,0000,0000,0,154124,0000,0000,0,154648,0000,0000,0,155198,0000,0000,0,155788,0000,0000,0,156044,0000,0000
"Middlesex, MA",25017,0,1468934,0000,0000,0,1476773,0000,0000,0,1473966,0000,0000,0,1470427,0000,0000,0,1467576,0000,0000,0,1465156,0000,0000,0,1467985,0000,0000,0,1475519,0000,0000,0,1487636,0000,0000,0,1505006,0000,0000
